date,open,high,low,close
06/02/2010,65.27,66.21,64.0,66.16
06/01/2010,65.0,66.94,64.51,65.23
05/28/2010,66.34,67.17,65.52,66.21
05/27/2010,65.73,66.6,64.79,66.6
05/26/2010,63.01,65.95,62.45,64.48
05/25/2010,59.18,61.37,58.79,61.27
05/24/2010,60.2,62.94,60.2,61.75
05/21/2010,55.95,60.41,55.95,60.34
05/20/2010,57.9,59.44,57.23,57.86
05/19/2010,59.28,60.24,57.8,58.82
05/18/2010,60.77,61.95,59.15,59.78
05/17/2010,60.11,61.08,58.6,60.25
05/14/2010,61.16,61.38,58.93,60.2
05/13/2010,62.61,64.59,61.78,62.19
05/12/2010,61.4,62.92,61.19,62.84
05/11/2010,59.83,62.62,59.5,60.87
05/10/2010,59.66,61.19,59.66,60.64
05/07/2010,57.83,58.62,53.96,56.44
05/06/2010,60.5,61.5,51.23,58.65
05/05/2010,59.52,61.44,58.32,60.75
05/04/2010,62.09,62.09,59.7,60.56
05/03/2010,62.06,63.19,61.37,62.69
04/30/2010,62.74,62.98,61.59,61.64
04/29/2010,63.06,63.25,62.18,62.5
04/28/2010,62.16,62.53,60.26,62.5
04/27/2010,63.08,63.35,61.34,61.77
04/26/2010,62.93,63.81,62.67,63.55
04/23/2010,61.28,62.9,60.78,62.64
04/22/2010,60.59,61.75,59.55,61.48
04/21/2010,58.09,62.0,57.05,61.66
04/20/2010,55.95,57.31,55.16,56.52
04/19/2010,56.17,56.73,54.69,55.56
04/16/2010,56.62,57.84,56.11,56.39
04/15/2010,56.53,56.92,56.1,56.43
04/14/2010,57.52,57.58,56.15,56.65
04/13/2010,57.12,57.25,56.5,56.64
04/12/2010,55.3,58.39,55.26,57.25
04/09/2010,54.08,54.81,53.7,54.71
04/08/2010,53.43,54.24,52.8,53.87
04/07/2010,54.32,54.63,53.45,53.78
04/06/2010,53.96,54.9,53.44,54.6
04/05/2010,52.53,54.0,52.35,53.91
04/01/2010,53.58,54.07,51.66,52.47
03/31/2010,52.86,53.48,52.14,53.3
03/30/2010,53.31,53.63,51.93,52.98
03/29/2010,53.95,53.95,52.51,53.21
03/26/2010,54.68,54.68,53.31,53.53
03/25/2010,54.6,54.99,54.26,54.49
03/24/2010,54.18,54.67,53.79,54.3
03/23/2010,53.88,54.55,52.73,54.35
03/22/2010,52.78,54.07,52.13,53.78
03/19/2010,52.98,53.32,52.13,52.98
03/18/2010,53.49,53.93,52.72,52.85
03/17/2010,54.05,54.32,53.3,53.47
03/16/2010,54.0,54.11,53.5,54.03
03/15/2010,53.36,54.02,52.76,53.73
03/12/2010,54.6,54.6,53.3,53.68
03/11/2010,54.27,54.45,53.33,54.03
03/10/2010,53.86,54.6,53.75,54.28
03/09/2010,54.13,54.75,53.58,53.89
